Authors,Author(s) ID,Title,Year,Source title,General conference name,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Khah F.S., Rybkowski Z.K., Ray Pentecost A., Smith J.P., Muir R.",57215333932;34868658300;57215305002;7410171017;57215336161;,Development and testing of an innovative architectural programming simulation as a precursor to target value design,2019,"27th Annual Conference of the International Group for Lean Construction, IGLC 2019","Annual Conference of the International Group for Lean Construction, IGLC",IGLC1,,,515,526,,,10.24928/2019/0221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078303158&doi=10.24928%2f2019%2f0221&partnerID=40&md5=fe42b8562c9f161eb2448ba56a2f6cca,"Department of Construction Science, Texas A and M University, College Station, TX  77843, United States; Department of Architecture, Texas A and M University, College Station, TX  77843, United States; College of Engineering, Brigham Young University, Provo, UT  84602-8200, United States; Principal Faculty, Myers-Lawson School of Construction, Virginia Polytechnic Institute and State University, Blacksburg, VA  24061, United States","Khah, F.S., Department of Construction Science, Texas A and M University, College Station, TX  77843, United States; Rybkowski, Z.K., Department of Construction Science, Texas A and M University, College Station, TX  77843, United States; Ray Pentecost, A., Department of Architecture, Texas A and M University, College Station, TX  77843, United States; Smith, J.P., College of Engineering, Brigham Young University, Provo, UT  84602-8200, United States; Muir, R., Principal Faculty, Myers-Lawson School of Construction, Virginia Polytechnic Institute and State University, Blacksburg, VA  24061, United States","More than half of international construction projects are underperforming. Poorly defined scope of work has been ranked as the one of the highest reasons for poor performance over which owners and construction stakeholders have control. An owner's requirements and expectations are specified during the programming phase of a project and these define a design's scope of work. One focus of Target Value Design (TVD) is making owner's value a primary driver of design by improving project definition during programming-thus optimizing the design phase. While the number of published research articles praising TVD has been increasing, there is a dearth of information regarding the application of architectural programming (AP) to Target Value Design exercises, which engage stakeholders in a design decision making process called Choosing by Advantages (CBA). CBA first requires identification of attributes that are of value to an owner. The purpose of this research was to explore the importance of architectural programming in helping to identify key attributes of value to an owner, and to report on a lean game designed and preliminarily validated by the authors to investigate the accuracy and perception of attribute identification through AP as represented by the game. © 27th Annual Conference of the International Group for Lean Construction, IGLC 2019. All rights reserved.",Architectural programming; Design science; Serious games; Simulations; Target value design; Value,Decision making; Lean production; Serious games; Construction stakeholders; Design decision-making; Design science; Development and testing; International construction projects; Simulations; Target value designs; Value; Architectural design,Conference,Final,Open Access,Scopus,2-s2.0-85078303158
"Nielsen J., Beard R.W.",56824897200;35562442700;,Relative target estimation using a cascade of extended Kalman filters,2017,"30th International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS 2017","International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS",4,,,2273,2289,,2,10.33012/2017.15158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047864637&doi=10.33012%2f2017.15158&partnerID=40&md5=55515e58c4b72863b26565c0b0eab4c3,"Brigham Young University, United States","Nielsen, J., Brigham Young University, United States; Beard, R.W., Brigham Young University, United States","This paper presents a method of tracking multiple ground targets from an unmanned aerial vehicle (UAV) in a 3D reference frame. The tracking method uses a monocular camera and makes no assumptions on the shape of the terrain or the target motion. The UAV runs two cascaded estimators. The first is an Extended Kalman Filter (EKF), which is responsible for tracking the UAV's state, such as position and velocity relative to a fixed frame. The second estimator is an EKF that is responsible for estimating a fixed number of landmarks within the camera's field of view. Landmarks are parameterized by a quaternion associated with bearing from the camera's optical axis and an inverse distance parameter. The bearing quaternion allows for a minimal representation of each landmark's direction and distance, a filter with no singularities, and a fast update rate due to few trigonometric functions. Three methods for estimating the ground target positions are demonstrated: the first uses the landmark estimator directly on the targets, the second computes the target depth with a weighted average of converged landmark depths, and the third extends the target's measured bearing vector to intersect a ground plane approximated from the landmark estimates. Simulation results show that the third target estimation method yields the most accurate results. © 2017, Institute of Navigation.",,Aircraft detection; Antennas; Cameras; Global positioning system; Inverse problems; Unmanned aerial vehicles (UAV); Distance parameter; Minimal representation; Monocular cameras; Multiple grounds; Reference frame; Target estimations; Trigonometric functions; Weighted averages; Extended Kalman filters,Conference,Final,,Scopus,2-s2.0-85047864637
"Jensen D.W., Machanzi T.",7402549729;57202088821;,Pull-out strength of fiberglass/epoxy composite rebar manufactured using a three-dimensional braiding process,2018,33rd Technical Conference of the American Society for Composites 2018,Technical Conference of the American Society for Composites,5,,,3275,3289,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059382045&partnerID=40&md5=40b8ff2efa7d5a7898c0bd10e20458dc,"Brigham Young University, 368-E CB, Provo, UT  84602, United States; TRC, Taylorsville, UT  84321, United States","Jensen, D.W., Brigham Young University, 368-E CB, Provo, UT  84602, United States; Machanzi, T., TRC, Taylorsville, UT  84321, United States","This research demonstrated the ability to produce high quality fiberglass-epoxy rebar using a continuous three-dimensional braiding process. The tensile pull-out strength of the composite rebar embedded in concrete was measured and compared to steel rebar. Fiberglass/epoxy is less likely to corrode than steel rebar, ensuring more sustainable concrete structures in infrastructure applications. The 0.5"" diameter composite rebar was produced by pulling hundreds of strands of unidirectional fiberglass/epoxy towpreg to form the core of a cylindrical rod. The rods were consolidated by overwrapping strands of aramid fiber under tension in a spiral fashion, and cured using the manufacturer's (TCR Composites) recommended 250°F cure cycle. Configurations manufactured and tested included tow variations of aramid overwrap (dry and prepreg) with and without sand coating embedded in concrete cubes (8""x8""x8""). The results are compared to baseline values obtained by testing traditional steel rebar and commercially-Available fiberglass composite rebar. The tensile pull-out (bond) strength was quantified using a test fixture in accordance with ACI 440.3R-12. Measurements were collected at both the free and loaded ends of the rebar, with freeend results yielding a more accurate indication of rebar bond stress. The bond strength of the in-house manufactured fiberglass/epoxy rebar was comparable to steel rebar and commercial fiberglass composite rebar. The sand coating increased the surface roughness, improving the bond strength of the composite rebar by margins of 43-58% percent. Fiberglass/epoxy composite rebar consolidated with prepreg aramid tow and subsequently coated with sand resulted in a bond strength slightly higher, but comparable to steel. This study demonstrates the ability to consistently produce high quality fiberglass/epoxy composite rebar using an innovative, low cost, high production rate, three-dimensional braiding process. © 2018 33rd Technical Conference of the American Society for Composites 2018. All rights reserved.",,Aramid fibers; Bond strength (materials); Coatings; Concretes; Curing; Glass fibers; Steel corrosion; Surface roughness; Baseline values; Cylindrical rod; Fiberglass composites; High production rate; Infrastructure applications; Pull-out strength; Sustainable concretes; Three dimensional braiding; Tensile strength,Conference,Final,,Scopus,2-s2.0-85059382045
"Francis B.L., Nuttall J.R., Transtrum M.K., Saric A.T., Stankovic A.M.",57205617484;57215432728;8448666000;6701777223;57218886193;,Network Reduction in Transient Stability Models using Partial Response Matching,2019,"51st North American Power Symposium, NAPS 2019","North American Power Symposium, NAPS",naps1,,9000378,,,,,10.1109/NAPS46351.2019.9000378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080855064&doi=10.1109%2fNAPS46351.2019.9000378&partnerID=40&md5=db1ac6c5fefb2160f806dc92b4e52dce,"Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States; Faculty of Technical Sciences, Dept. of Power Electronics and Com. Engineering, Novi Sad, Serbia; Tufts University, Dept. of Electrical and Computer Engineering, Medford, MA, United States","Francis, B.L., Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States; Nuttall, J.R., Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States; Transtrum, M.K., Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States; Saric, A.T., Faculty of Technical Sciences, Dept. of Power Electronics and Com. Engineering, Novi Sad, Serbia; Stankovic, A.M., Tufts University, Dept. of Electrical and Computer Engineering, Medford, MA, United States","We describe a method for simultaneously identifying and reducing dynamic power systems models in the form of differential-algebraic equations. Often, these models are large and complex, containing more parameters than can be identified from the available system measurements. We demonstrate our method on transient stability models, using the IEEE 14-bus test system. Our approach uses techniques of information geometry to remove unidentifiable parameters from the model. We examine the case of a networked system with 58 parameters using full observations throughout the network. We show that greater reduction can be achieved when only partial observations are available, Including reduction of the network itself. © 2019 IEEE.",Parameter Estimation; Reduced Order Systems; System Identification,Algebra; Differential equations; Identification (control systems); Parameter estimation; Differential algebraic equations; Dynamic power systems; Information geometry; Networked systems; Partial observation; Reduced order systems; System measurement; Transient stability models; Transients,Conference,Final,,Scopus,2-s2.0-85080855064
"Svenda V.G., Stankovic A.M., Saric A.T., Transtrum M.K.",57192247939;57218886153;6701777223;8448666000;,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,2019,"51st North American Power Symposium, NAPS 2019","North American Power Symposium, NAPS",naps2,,8999986,,,,1,10.1109/NAPS46351.2019.8999986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080887200&doi=10.1109%2fNAPS46351.2019.8999986&partnerID=40&md5=96313a41931cc7235d03a17f19a416c1,"Tufts University, Dept. of Electrical and Computer Eng., Medford, MA, United States; Faculty of Technical Sciences, Electr. and Com. Eng. Novi Sad, Serbia Academy of Engineering Sciences of Serbia, Dept. of Power, Serbia; Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States","Svenda, V.G., Tufts University, Dept. of Electrical and Computer Eng., Medford, MA, United States; Stankovic, A.M., Tufts University, Dept. of Electrical and Computer Eng., Medford, MA, United States; Saric, A.T., Faculty of Technical Sciences, Electr. and Com. Eng. Novi Sad, Serbia Academy of Engineering Sciences of Serbia, Dept. of Power, Serbia; Transtrum, M.K., Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States","This paper explores power system network observability while taking into account realistic communication network behavior. The overall information is obtained by combining SCADA-and phasor measurement unit-derived data, where time stamping (based on Global Positioning System or an equivalent local clock) for all measurements is assumed. Based on simulations performed in communication Network Simulator 2, empirical cumulative distribution functions can be associated with transfer times of measurement packets, which will reflect communication parameters and irregularities. This is further used to form an algorithm which maximizes the number of successful network observability checks, and thus the number of possible state estimations, in a certain time period. Application is demonstrated on the IEEE 14-bus test power system example. © 2019 IEEE.",Co-simulation; Communication irregularities; Network observability; State estimation,Distribution functions; Observability; State estimation; Communication parameters; Cosimulation; Empirical cumulative distribution functions; Hybrid power systems; Network observability; Power system networks; Probabilistic network; Realistic communication; Phasor measurement units,Conference,Final,,Scopus,2-s2.0-85080887200
"Heath D., Ventura D.",55354928800;24402340500;,Semantic style creation,2017,AAAI Workshop - Technical Report,AAAI Workshop,WS-17-01 - WS-17-15,,,676,679,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046096005&partnerID=40&md5=44b187638242d9a6944aa047563bb617,"Google, Inc., Mountain View, CA  94043, United States; Computer Science Department, Brigham Young University, Provo, UT  84602, United States","Heath, D., Google, Inc., Mountain View, CA  94043, United States; Ventura, D., Computer Science Department, Brigham Young University, Provo, UT  84602, United States","Visual style transfer involves combining the content of one image with the style of another, and recent work has produced some compelling results. This paper proposes a related task that requires additional system intelligence and autonomy-that of style creation. Rather than using the style of an existing source image, the goal is to have the system autonomously create a rendering style based on a simple (text-based) semantic description. Results demonstrate the system's ability to autonomously create interesting, semantically appropriate styles that can be applied for image rendering. © 2017, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,Computer games; Deep learning; Knowledge based systems; Operations research; Rendering (computer graphics); Semantics; Image rendering; Semantic descriptions; Source images; System intelligence; Problem solving,Conference,Final,,Scopus,2-s2.0-85046096005
"Jensen T.D., Bresciano K.A., Dallon E., Fujimoto M.S., Lyman C.A., Stewart E., Griffitts J., Clement M.J.",57204553875;57204546854;57204555914;56371366400;57202818911;57204555396;6507235629;7102523474;,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,2018,"ACM-BCB 2018 - Proceedings of the 2018 ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics","ACM-BCB-International Conference on Bioinformatics, Computational Biology, and Health Informatics",ACM1,,,139,144,,,10.1145/3233547.3233599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056128765&doi=10.1145%2f3233547.3233599&partnerID=40&md5=9f14f26f94fd560aede785ea8bc82535,"Department of Biology, Brigham Young University, Provo, UT, United States; Department of Computer Science, Brigham Young University, Provo, UT, United States; Department of Microbiology and Molecular Biology, Brigham Young University, Provo, UT, United States","Jensen, T.D., Department of Biology, Brigham Young University, Provo, UT, United States; Bresciano, K.A., Department of Computer Science, Brigham Young University, Provo, UT, United States; Dallon, E., Department of Microbiology and Molecular Biology, Brigham Young University, Provo, UT, United States; Fujimoto, M.S., Department of Computer Science, Brigham Young University, Provo, UT, United States; Lyman, C.A., Department of Computer Science, Brigham Young University, Provo, UT, United States; Stewart, E., Department of Computer Science, Brigham Young University, Provo, UT, United States; Griffitts, J., Department of Microbiology and Molecular Biology, Brigham Young University, Provo, UT, United States; Clement, M.J., Department of Computer Science, Brigham Young University, Provo, UT, United States","Bacteria with resistance genes are becoming ever more common, and new methods of discovering antibiotics are being developed. One of these new methods involves researchers creating random peptides and testing their antimicrobial activity. Developing antibiotics from these peptides requires understanding which sequence motifs will be toxic to bacteria. To determine if the toxic peptides of a randomly-generated peptide library can be uniquely classified based solely on sequence motifs, we created the PepSeq Pipeline: a new software that utilizes a Random Forest algorithm to extract motifs from a peptide library. We found that this pipeline can accurately classify 56% of the toxic peptides in the peptide library using motifs extracted from the model. Testing on simulated data with less noise, we could classify up to 94% of the toxic peptides. The pipeline extracted significant toxic motifs in every library that was tested, but its ability to classify all toxic peptides depended on the number of motifs in the library. Once extracted, these motifs can be used both to understand the biology behind why certain peptides are toxic and to create novel antibiotics. The code and data used in this analysis can be found at https://github.com/tjense25/pep-seq-pipeline. © 2018 ACM.",Drug discovery; Peptide; Random forest,Antibiotics; Bacteria; Bioinformatics; Decision trees; Pipelines; Anti-microbial activity; Drug discovery; Motif discovery; Novel antibiotics; Random forest algorithm; Random forests; Resistance genes; Sequence motifs; Peptides,Conference,Final,,Scopus,2-s2.0-85056128765
"Lyman C.A., Clement M., Craddock T.J.A., Fletcher M., Klimas N.G., Broderick G.",57202818911;7102523474;25627506700;57210477807;7005345401;7005976828;,Feedback regulation of immune response to maximum exercise in Gulf war illness,2019,"ACM-BCB 2019 - Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics","ACM-BCB-International Conference on Bioinformatics, Computational Biology, and Health Informatics",ACM2,,,124,129,,1,10.1145/3307339.3342188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073170631&doi=10.1145%2f3307339.3342188&partnerID=40&md5=60724a7d02ca45230241b4c0bdb0fd44,"Center for Clinical Systems Biology, Rochester General Hospital, Rochester, NY, United States; Computer Science Department, Brigham Young University, Provo, UT, United States; Dept. of Psychology and Neuroscience, Computer Science, and Clinical Immunology Clinical Systems Biology Group, Inst. for Neuroimmune Medicine Nova Southeastern University, Fort Lauderdale, FL, United States; Dept. of Clinical Immunology, EM Paper Laboratory of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States; Dept. of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States; Miami Veterans Affairs Medical Center, Miami, FL, United States; Dept. of Biomedical Engineering, Rochester Institute of Technology, Rochester, NY, United States","Lyman, C.A., Center for Clinical Systems Biology, Rochester General Hospital, Rochester, NY, United States, Computer Science Department, Brigham Young University, Provo, UT, United States; Clement, M., Computer Science Department, Brigham Young University, Provo, UT, United States; Craddock, T.J.A., Dept. of Psychology and Neuroscience, Computer Science, and Clinical Immunology Clinical Systems Biology Group, Inst. for Neuroimmune Medicine Nova Southeastern University, Fort Lauderdale, FL, United States; Fletcher, M., Dept. of Clinical Immunology, EM Paper Laboratory of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States; Klimas, N.G., Dept. of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States, Miami Veterans Affairs Medical Center, Miami, FL, United States; Broderick, G., Center for Clinical Systems Biology, Rochester General Hospital, Rochester, NY, United States, Dept. of Biomedical Engineering, Rochester Institute of Technology, Rochester, NY, United States","Gulf War Illness is a disease that affects about a third of the veterans that served in the 1990-91 Persian Gulf War. The symptoms are varied, the cause is unknown, and there is no known treatment. In this paper we compare the dynamic characteristics of cytokines feedback response to exercise in n=12 veterans diagnosed with Gulf War Illness (GWI) and n=12 healthy veterans deployed to the same theatre of operations. A third-order transfer function is used to model the process dynamics of 18 cytokines projected onto principal components with a Proportional Integral Derivative (PID) controller enforcing the homeostatic regulation of these co-expression patterns. Transfer functions were fit to each subject for each principal component and the dynamic response parameters compared between the veteran control and GWI subject groups. Results of this analysis indicate that while much of the regulatory response dynamics are shared by both groups, there is a significant difference in the damping of the Th1:Th2 cytokine response to exercise in Gulf War Illness. © 2019 Association of Computing Machinery.",Exercise response; Feedback control; Gulf War Illness; Immune dynamics; Oscillatory behavior,Bioinformatics; Diseases; Dynamics; Feedback control; Medical informatics; Proportional control systems; Transfer functions; Two term control systems; Dynamic characteristics; Exercise response; Gulf War; Homeostatic regulations; Oscillatory behaviors; Principal Components; Proportional integral derivative controllers; Response parameters; Feedback; Control Systems; Diseases; Dynamics; Feedback Control; Patterns; Persian Gulf; Processes; Transfer Functions,Conference,Final,Open Access,Scopus,2-s2.0-85073170631
"Adams J.A., Chen J.Y.C., Goodrich M.A.",35546747200;23003275100;7005513246;,Swarm Transparency,2018,ACM/IEEE International Conference on Human-Robot Interaction,ACM/IEEE International Conference on Human-Robot Interaction,Part F127193,,,45,46,,3,10.1145/3173386.3177008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045261507&doi=10.1145%2f3173386.3177008&partnerID=40&md5=86604f1524475253a73f4d634966d67a,"Oregon State University, United States; US Army Research Laboratory, United States; Brigham Young University, United States","Adams, J.A., Oregon State University, United States; Chen, J.Y.C., US Army Research Laboratory, United States; Goodrich, M.A., Brigham Young University, United States","A key element of system transparency is allowing humans to calibrate their trust in a system, given the implicit inherent uncertainty, emergent behaviors, etc. As robotic swarms progress towards real-world missions, such transparency becomes increasingly necessary in order to reduce the disuse, misuse and errors humans make when influencing and directing the swarm. However,achieving this objective requires addressing the complex challenges associated with providing transparency. Two swarm transparency challenge categories, with exemplar challenges, are provided. © 2018 Authors.",human-robot interaction; swarms,Human computer interaction; Man machine systems; Transparency; Emergent behaviors; Key elements; Real-world; Robotic swarms; swarms; Human robot interaction,Conference,Final,Open Access,Scopus,2-s2.0-85045261507
"McDonald S.J., Colton M.B., Alder C.K., Goodrich M.A.",57189227384;19639917400;57189219942;7005513246;,Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,2017,ACM/IEEE International Conference on Human-Robot Interaction,ACM/IEEE International Conference on Human-Robot Interaction,Part F127194,,,380,388,,2,10.1145/2909824.3020243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021805078&doi=10.1145%2f2909824.3020243&partnerID=40&md5=8a2a19218a73845aa47ec44de9678875,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Department of Computer Science, Brigham Young University, Provo, UT  84602, United States","McDonald, S.J., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Colton, M.B., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Alder, C.K., Department of Computer Science, Brigham Young University, Provo, UT  84602, United States; Goodrich, M.A., Department of Computer Science, Brigham Young University, Provo, UT  84602, United States","There is a growing need to develop effective interaction methods that enable a single operator to manage a team of multiple robots. This paper presents a novel approach that involves treating the team as a moldable volume, in which deformations of the volume correspond to changes in team shape. The team possesses a level of autonomy that allows the team to travel to and surround buildings of interest in a patrol and cordon scenario. During surround mode, the operator explores or manipulates the team shape to create desired formations around a building. A spacing interaction method also allows the operator to adjust how robots are spaced within the current shape. Separate haptic feedback is developed for each method to allow the operator to ""feel"" the shape or spacing manipulation. During travel mode, the operator chooses desired travel locations and receives feedback to help identify how and where the team travels. Results from a user study suggest that haptic feedback significantly improves operator performance in a reconnaissance task when task demand is higher, but may slightly increase operator workload. In the context of the experimental setup, these results suggest that haptic feedback may contribute to heads-up control of a team of autonomous robots. There were no significant differences in levels of situation awareness due to haptic feedback in this study. © 2017 ACM.",haptic feedback; human-swarm interaction; situation awareness,Feedback; Human resource management; Man machine systems; Robots; Effective interactions; Haptic feedbacks; human-swarm interaction; Interaction methods; Level of autonomies; Operator performance; Operator workload; Situation awareness; Human robot interaction,Conference,Final,,Scopus,2-s2.0-85021805078
